"city","sea"
"Georgetown (Pulau Pinang, Malaysia)","Malakka Strait"
"Ambon (Maluku, Indonesia)","Banda Sea"
"Puerto Cortes (Cortés, Honduras)","Caribbean Sea"
"Sinuiju (North Korea)","Yellow Sea"
"Gunsan (South Korea)","Yellow Sea"
"Patra (Dytikis Elladas, Greece)","Mediterranean Sea"
"Las Palmas de Gran Canaria (Canarias, Spain)","Atlantic Ocean"
"Fukui (Fukui, Japan)","Sea of Japan"
"Banda Aceh (Aceh, Indonesia)","Andaman Sea"
"Banda Aceh (Aceh, Indonesia)","Indian Ocean"
"Thessaloniki (Kentrikis Makedonias, Greece)","Mediterranean Sea"
"Athina (Attikis, Greece)","Mediterranean Sea"
"Tottori (Tottori, Japan)","Sea of Japan"
"Barcelona (Cataluña, Spain)","Mediterranean Sea"
"Tainan (Taiwan)","South China Sea"
"Hagåtña (Guam)","Pacific Ocean"
"Abidjan (Lagunes, Cote dIvoire)","Atlantic Ocean"
"Aomori (Aomori, Japan)","Sea of Japan"
"Ciénaga (La Guajira, Colombia)","Caribbean Sea"
"Giresun (Giresun, Turkey)","Black Sea"
"Malabo (Insular, Equatorial Guinea)","Atlantic Ocean"
"Arendal (Aust-Agder, Norway)","Skagerrak"
"Newport (Wales, United Kingdom)","Atlantic Ocean"
"Fukuoka (Fukuoka, Japan)","Sea of Japan"
"Puntarenas (Puntarenas, Costa Rica)","Pacific Ocean"
"Tamatave (Madagascar)","Indian Ocean"
"Vaasa (Vaasa, Finland)","Baltic Sea"
"Gdynia (Pomorskie, Poland)","Baltic Sea"
"Fuzhou (Fujian, China)","East China Sea"
"Tela (Atlántida, Honduras)","Caribbean Sea"
"Visakhapatnam (Andhra Pradesh, India)","Gulf of Bengal"
"Cágliari (Sardegna, Italy)","Mediterranean Sea"
"Auckland (New Zealand)","Pacific Ocean"
"Rawson (Chubut, Argentina)","Atlantic Ocean"
"Yokosuka (Kanagawa, Japan)","Pacific Ocean"
"Chesapeake (Virginia, United States)","Atlantic Ocean"
"Safi (Doukala Abda, Morocco)","Atlantic Ocean"
"Bissau (Guinea-Bissau)","Atlantic Ocean"
"Keelung (Taiwan)","East China Sea"
"Balikpapan (Kalimantan Timur, Indonesia)","Java Sea"
