"country","class"
"Algeria","true"
"Argentina","true"
"Armenia","true"
"Azerbaijan","true"
"Benin","true"
"Burundi","true"
"Central African Republic","true"
"Chad","true"
"Chile","true"
"Congo","true"
"France","true"
"Gambia","true"
"Georgia","true"
"Guinea","true"
"Guinea-Bissau","true"
"Indonesia","true"
"Italy","true"
"Kenya","true"
"Kosovo","true"
"Kyrgyzstan","true"
"Liberia","true"
"Mali","true"
"Moldova","true"
"Montenegro","true"
"Mozambique","true"
"Namibia","true"
"Niger","true"
"Poland","true"
"Romania","true"
"San Marino","true"
"Senegal","true"
"Serbia","true"
"South Africa","true"
"South Sudan","true"
"Tajikistan","true"
"Tanzania","true"
"Timor-Leste","true"
"Tunisia","true"
"Uganda","true"
"Ukraine","true"
"Zaire","true"
"Zambia","true"
"Afghanistan","false"
"Albania","false"
"American Samoa","false"
"Andorra","false"
"Angola","false"
"Anguilla","false"
"Antigua and Barbuda","false"
"Aruba","false"
"Australia","false"
"Austria","false"
"Bahamas","false"
"Bahrain","false"
"Bangladesh","false"
"Barbados","false"
"Belarus","false"
"Belgium","false"
"Belize","false"
"Bermuda","false"
"Bhutan","false"
"Bolivia","false"
"Bosnia and Herzegovina","false"
"Botswana","false"
"Brazil","false"
"British Virgin Islands","false"
"Brunei","false"
"Bulgaria","false"
"Burkina Faso","false"
"Cambodia","false"
"Cameroon","false"
"Canada","false"
"Cape Verde","false"
"Cayman Islands","false"
"Ceuta","false"
"China","false"
"Christmas Island","false"
"Cocos Islands","false"
"Colombia","false"
"Comoros","false"
"Cook Islands","false"
"Costa Rica","false"
"Cote dIvoire","false"
"Croatia","false"
"Cuba","false"
"Curacao","false"
"Cyprus","false"
"Czech Republic","false"
"Denmark","false"
"Djibouti","false"
"Dominica","false"
"Dominican Republic","false"
"Ecuador","false"
"Egypt","false"
"El Salvador","false"
"Equatorial Guinea","false"
"Eritrea","false"
"Estonia","false"
"Ethiopia","false"
"Falkland Islands","false"
"Faroe Islands","false"
"Fiji","false"
"Finland","false"
"French Guiana","false"
"French Polynesia","false"
"Gabon","false"
"Gaza Strip","false"
"Germany","false"
"Ghana","false"
"Gibraltar","false"
"Greece","false"
"Greenland","false"
"Grenada","false"
"Guadeloupe","false"
"Guam","false"
"Guatemala","false"
"Guernsey","false"
"Guyana","false"
"Haiti","false"
"Holy See","false"
"Honduras","false"
"Hong Kong","false"
"Hungary","false"
"Iceland","false"
"India","false"
"Iran","false"
"Iraq","false"
"Ireland","false"
"Isle of Man","false"
"Israel","false"
"Jamaica","false"
"Japan","false"
"Jersey","false"
"Jordan","false"
"Kazakhstan","false"
"Kiribati","false"
"Kuwait","false"
"Laos","false"
"Latvia","false"
"Lebanon","false"
"Lesotho","false"
"Libya","false"
"Liechtenstein","false"
"Lithuania","false"
"Luxembourg","false"
"Macao","false"
"Macedonia","false"
"Madagascar","false"
"Malawi","false"
"Malaysia","false"
"Maldives","false"
"Malta","false"
"Marshall Islands","false"
"Martinique","false"
"Mauritania","false"
"Mauritius","false"
"Mayotte","false"
"Melilla","false"
"Mexico","false"
"Micronesia","false"
"Monaco","false"
"Mongolia","false"
"Montserrat","false"
"Morocco","false"
"Myanmar","false"
"Nauru","false"
"Nepal","false"
"Netherlands","false"
"New Caledonia","false"
"New Zealand","false"
"Nicaragua","false"
"Nigeria","false"
"Niue","false"
"Norfolk Island","false"
"North Korea","false"
"Northern Mariana Islands","false"
"Norway","false"
"Oman","false"
"Pakistan","false"
"Palau","false"
"Panama","false"
"Papua New Guinea","false"
"Paraguay","false"
"Peru","false"
"Philippines","false"
"Pitcairn","false"
"Portugal","false"
"Puerto Rico","false"
"Qatar","false"
"Reunion","false"
"Russia","false"
"Rwanda","false"
"Saint Barthelemy","false"
"Saint Helena","false"
"Saint Kitts and Nevis","false"
"Saint Lucia","false"
"Saint Martin","false"
"Saint Pierre and Miquelon","false"
"Saint Vincent and the Grenadines","false"
"Samoa","false"
"Sao Tome and Principe","false"
"Saudi Arabia","false"
"Seychelles","false"
"Sierra Leone","false"
"Singapore","false"
"Sint Maarten","false"
"Slovakia","false"
"Slovenia","false"
"Solomon Islands","false"
"Somalia","false"
"South Korea","false"
"Spain","false"
"Sri Lanka","false"
"Sudan","false"
"Suriname","false"
"Svalbard","false"
"Swaziland","false"
"Sweden","false"
"Switzerland","false"
"Syria","false"
"Taiwan","false"
"Thailand","false"
"Togo","false"
"Tokelau","false"
"Tonga","false"
"Trinidad and Tobago","false"
"Turkey","false"
"Turkmenistan","false"
"Turks and Caicos Islands","false"
"Tuvalu","false"
"United Arab Emirates","false"
"United Kingdom","false"
"United States","false"
"Uruguay","false"
"Uzbekistan","false"
"Vanuatu","false"
"Venezuela","false"
"Vietnam","false"
"Virgin Islands","false"
"Wallis and Futuna","false"
"West Bank","false"
"Western Sahara","false"
"Yemen","false"
"Zimbabwe","false"
