"country","classe"
"Andorra","true"
"Argentina","true"
"Austria","true"
"Belgium","true"
"Belize","true"
"Bolivia","true"
"Brazil","true"
"Cameroon","true"
"Canada","true"
"Chile","true"
"China","true"
"Colombia","true"
"Costa Rica","true"
"Cote dIvoire","true"
"Dominican Republic","true"
"Ecuador","true"
"El Salvador","true"
"France","true"
"French Guiana","true"
"Gabon","true"
"Germany","true"
"Gibraltar","true"
"Guatemala","true"
"Guinea-Bissau","true"
"Guyana","true"
"Haiti","true"
"Holy See","true"
"Honduras","true"
"Italy","true"
"Liberia","true"
"Liechtenstein","true"
"Luxembourg","true"
"Malawi","true"
"Mali","true"
"Mexico","true"
"Monaco","true"
"Netherlands","true"
"Nicaragua","true"
"Panama","true"
"Paraguay","true"
"Peru","true"
"Portugal","true"
"San Marino","true"
"Senegal","true"
"Sierra Leone","true"
"Slovenia","true"
"South Africa","true"
"Spain","true"
"Suriname","true"
"Swaziland","true"
"Switzerland","true"
"Tanzania","true"
"United States","true"
"Uruguay","true"
"Venezuela","true"
"Zambia","true"
"Zimbabwe","true"
"Afghanistan","false"
"Albania","false"
"Algeria","false"
"American Samoa","false"
"Angola","false"
"Anguilla","false"
"Antigua and Barbuda","false"
"Armenia","false"
"Aruba","false"
"Australia","false"
"Azerbaijan","false"
"Bahamas","false"
"Bahrain","false"
"Bangladesh","false"
"Barbados","false"
"Belarus","false"
"Benin","false"
"Bermuda","false"
"Bhutan","false"
"Bosnia and Herzegovina","false"
"Botswana","false"
"British Virgin Islands","false"
"Brunei","false"
"Bulgaria","false"
"Burkina Faso","false"
"Burundi","false"
"Cambodia","false"
"Cape Verde","false"
"Cayman Islands","false"
"Central African Republic","false"
"Ceuta","false"
"Chad","false"
"Christmas Island","false"
"Cocos Islands","false"
"Comoros","false"
"Congo","false"
"Cook Islands","false"
"Croatia","false"
"Cuba","false"
"Curacao","false"
"Cyprus","false"
"Czech Republic","false"
"Denmark","false"
"Djibouti","false"
"Dominica","false"
"Egypt","false"
"Equatorial Guinea","false"
"Eritrea","false"
"Estonia","false"
"Ethiopia","false"
"Falkland Islands","false"
"Faroe Islands","false"
"Fiji","false"
"Finland","false"
"French Polynesia","false"
"Gambia","false"
"Gaza Strip","false"
"Georgia","false"
"Ghana","false"
"Greece","false"
"Greenland","false"
"Grenada","false"
"Guadeloupe","false"
"Guam","false"
"Guernsey","false"
"Guinea","false"
"Hong Kong","false"
"Hungary","false"
"Iceland","false"
"India","false"
"Indonesia","false"
"Iran","false"
"Iraq","false"
"Ireland","false"
"Isle of Man","false"
"Israel","false"
"Jamaica","false"
"Japan","false"
"Jersey","false"
"Jordan","false"
"Kazakhstan","false"
"Kenya","false"
"Kiribati","false"
"Kosovo","false"
"Kuwait","false"
"Kyrgyzstan","false"
"Laos","false"
"Latvia","false"
"Lebanon","false"
"Lesotho","false"
"Libya","false"
"Lithuania","false"
"Macao","false"
"Macedonia","false"
"Madagascar","false"
"Malaysia","false"
"Maldives","false"
"Malta","false"
"Marshall Islands","false"
"Martinique","false"
"Mauritania","false"
"Mauritius","false"
"Mayotte","false"
"Melilla","false"
"Micronesia","false"
"Moldova","false"
"Mongolia","false"
"Montenegro","false"
"Montserrat","false"
"Morocco","false"
"Mozambique","false"
"Myanmar","false"
"Namibia","false"
"Nauru","false"
"Nepal","false"
"New Caledonia","false"
"New Zealand","false"
"Niger","false"
"Nigeria","false"
"Niue","false"
"Norfolk Island","false"
"North Korea","false"
"Northern Mariana Islands","false"
"Norway","false"
"Oman","false"
"Pakistan","false"
"Palau","false"
"Papua New Guinea","false"
"Philippines","false"
"Pitcairn","false"
"Poland","false"
"Puerto Rico","false"
"Qatar","false"
"Reunion","false"
"Romania","false"
"Russia","false"
"Rwanda","false"
"Saint Barthelemy","false"
"Saint Helena","false"
"Saint Kitts and Nevis","false"
"Saint Lucia","false"
"Saint Martin","false"
"Saint Pierre and Miquelon","false"
"Saint Vincent and the Grenadines","false"
"Samoa","false"
"Sao Tome and Principe","false"
"Saudi Arabia","false"
"Serbia","false"
"Seychelles","false"
"Singapore","false"
"Sint Maarten","false"
"Slovakia","false"
"Solomon Islands","false"
"Somalia","false"
"South Korea","false"
"South Sudan","false"
"Sri Lanka","false"
"Sudan","false"
"Svalbard","false"
"Sweden","false"
"Syria","false"
"Taiwan","false"
"Tajikistan","false"
"Thailand","false"
"Timor-Leste","false"
"Togo","false"
"Tokelau","false"
"Tonga","false"
"Trinidad and Tobago","false"
"Tunisia","false"
"Turkey","false"
"Turkmenistan","false"
"Turks and Caicos Islands","false"
"Tuvalu","false"
"Uganda","false"
"Ukraine","false"
"United Arab Emirates","false"
"United Kingdom","false"
"Uzbekistan","false"
"Vanuatu","false"
"Vietnam","false"
"Virgin Islands","false"
"Wallis and Futuna","false"
"West Bank","false"
"Western Sahara","false"
"Yemen","false"
"Zaire","false"
