"country","population","government","capital"
"Vanuatu","236299","parliamentary republic","Port Vila (Vanuatu)"
"Saint Vincent and the Grenadines","109991","parliamentary democracy and a Commonwealth realm","Kingstown (Saint Vincent and the Grenadines)"
"Christmas Island","2072","territory of Australia","Flying Fish Cove (Christmas Island)"
"Anguilla","13037","British Overseas Territories","The Valley (Anguilla)"
"Indonesia","252124458","republic","Jakarta (DKI Jakarta, Indonesia)"
"Costa Rica","4773119","democratic republic","San José (San José, Costa Rica)"
"Greenland","56370","parliamentary democracy within a constitutional monarchy","Nuuk (Greenland)"
"Mauritius","1237091","parliamentary democracy","Port Louis (Mauritius)"
"Macedonia","2059794","parliamentary democracy","Skopje (Macedonia)"
"Reunion","828581","overseas department of France","Saint-Denis (Reunion)"
"Tuvalu","9827","parliamentary democracy and a Commonwealth realm","Funafuti (Tuvalu)"
"Egypt","83667047","republic","Al Qahirah (Egypt)"
"Spain","46815916","parliamentary monarchy","Madrid (Madrid, Spain)"
"Guatemala","15073375","constitutional democratic republic","Ciudad de Guatemala (Guatemala)"
"Belgium","11099554","federal parliamentary democracy under a constitutional monarchy","Bruxelles (Bruxelles, Belgium)"
"Guinea-Bissau","1586624","republic","Bissau (Guinea-Bissau)"
"United States","318857056","constitution-based federal republic; strong democratic tradition","Washington (District of Columbia, United States)"
"New Caledonia","245580","parliamentary representative democracy","Noumea (New Caledonia)"
"British Virgin Islands","23161","British Overseas Territories","Road Town (British Virgin Islands)"
"Germany","80219695","federal republic","Berlin (Berlin, Germany)"
"Djibouti","834036","republic","Djibouti (Djibouti)"
"South Sudan","8260490","republic","Juba (South Sudan)"
"Bosnia and Herzegovina","3791622","emerging federal democratic republic","Sarajevo (Federacija Bosne i Hercegovine, Bosnia and Herzegovina)"
"Saint Martin","37630","overseas collectivity of France","Marigot (Saint Martin)"
"Zambia","13046508","republic","Lusaka (Lusaka, Zambia)"
"Ghana","24658823","constitutional democracy","Accra (Greater Accra, Ghana)"
"Madagascar","21842167","republic","Antananarivo (Madagascar)"
"Hong Kong","7071576","limited democracy","Hong Kong (Hong Kong)"
"Cape Verde","491875","republic","Praia (Cape Verde)"
"Greece","10816286","parliamentary republic","Athina (Attikis, Greece)"
"Poland","38533789","republic","Warszawa (Mazowieckie, Poland)"
"Senegal","13508715","republic","Dakar (Dakar, Senegal)"
"Sierra Leone","5751976","constitutional democracy","Freetown (Sierra Leone)"
"Liechtenstein","36636","hereditary constitutional monarchy","Vaduz (Liechtenstein)"
"Gabon","1556222","republic; multiparty presidential regime","Libreville (Gabon)"
"Chad","11720781","republic","N'Djamena (Chad)"
"Liberia","3957990","republic","Monrovia (Liberia)"
"Equatorial Guinea","696167","republic","Malabo (Insular, Equatorial Guinea)"
"Namibia","2113077","republic","Windhoek (Namibia)"
"France","64933400","republic","Paris (Île-de-France, France)"
"Qatar","1699435","emirate","Doha (Qatar)"
"Haiti","9896400","republic","Port-au-Prince (Haiti)"
"Gambia","1882450","republic","Banjul (Gambia)"
"Albania","2800138","parliamentary democracy","Tirana (Albania)"
"Somalia","9636173","in the process of building a federal parliamentary republic","Mogadishu (Somalia)"
"Svalbard","1872","territory of Norway administered by the Ministry of Industry","Longyearbyen (Svalbard)"
"American Samoa","55519","unincorporated and unorganized territory of the US","Pago Pago (American Samoa)"
"Portugal","10561614","republic; parliamentary democracy","Lisboa (Lisboa, Portugal)"
"Azerbaijan","9356500","republic","Baku (Azerbaijan)"
"Latvia","2201196","parliamentary democracy","Rīga (Latvia)"
"El Salvador","6290420","republic","San Salvador (El Salvador)"
"Zimbabwe","13061239","parliamentary democracy","Harare (Zimbabwe)"
"Sri Lanka","20263723","republic","Sri Jayawardhanapura Kotte (Sri Lanka)"
"Czech Republic","10562214","parliamentary democracy","Praha (Praha, Czech Republic)"
"Yemen","24527000","republic","Sana'a (Yemen)"
"Angola","24383301","republic; multiparty presidential regime","Luanda (Luanda, Angola)"
"Ukraine","45633637","republic","Kyïv (Kyïv, Ukraine)"
"Sweden","9555893","constitutional monarchy","Stockholm (Stockholm, Sweden)"
"Cambodia","14364931","multiparty democracy under a constitutional monarchy","Phnom Penh (Cambodia)"
"Macao","552503","limited democracy","Macao (Macao)"
"Slovakia","5397036","parliamentary democracy","Bratislava (Bratislavský, Slovakia)"
"Mexico","112336538","federal republic","Ciudad de México (Distrito Federal, Mexico)"
"South Africa","51770560","republic","Tshwane (Gauteng, South Africa)"
"Montenegro","620029","republic","Podgorica (Montenegro)"
"Japan","127298000","a parliamentary government with a constitutional monarchy","Tokyo (Tokyo, Japan)"
"United Arab Emirates","8441537","federation with specified powers delegated to the UAE federal government and other powers reserved to member emirates","Abu Dhabi (United Arab Emirates)"
"Guyana","747884","republic","Georgetown (Guyana)"
"Kyrgyzstan","5776600","republic","Bishkek (Kyrgyzstan)"
"Romania","20121641","republic","Bucureşti (Bucureşti, Romania)"
"Uruguay","3286314","constitutional republic","Montevideo (Uruguay)"
"Mongolia","2754685","parliamentary","Ulaanbaatar (Mongolia)"
"Iraq","33330512","parliamentary democracy","Baghdad (Baghdad, Iraq)"
"Bahrain","1234596","constitutional monarchy","Al Manāmah (Bahrain)"
"Niger","17138707","republic","Niamey (Niamey, Niger)"
"Burundi","8444784","republic","Bujumbura (Burundi)"
"San Marino","32440","republic","San Marino (San Marino)"
"Togo","6191155","republic under transition to multiparty democratic rule","Lomé (Togo)"
"Iceland","318452","constitutional republic","Reykjavik (Iceland)"
"Trinidad and Tobago","1328019","parliamentary democracy","Port-of-Spain (Trinidad and Tobago)"
"Vietnam","88772900","Communist state","Hanoi (Vietnam)"
"North Korea","24500520","Communist state one-man dictatorship","Pyongyang (North Korea)"
"Marshall Islands","53158","constitutional government in free association with the US","Majuro (Marshall Islands)"
"Papua New Guinea","7275324","constitutional parliamentary democracy and a Commonwealth realm","Port Moresby (Papua New Guinea)"
"Australia","23135281","federal parliamentary democracy and a Commonwealth realm","Canberra (Australia Capital Territory, Australia)"
"Russia","143666931","federation","Moskva (Moscow, Russia)"
"Western Sahara","554795","legal status of territory and question of sovereignty unresolved","El Aaiun (Western Sahara)"
"China","1360720000","Communist state","Beijing (Beijing, China)"
"Cook Islands","17794","self-governing parliamentary democracy","Avarua (Cook Islands)"
"Jamaica","2697983","constitutional parliamentary democracy and a Commonwealth realm","Kingston (Jamaica)"
"Ecuador","14483499","republic","Quito (Ecuador)"
"Bahamas","353658","constitutional parliamentary democracy and a Commonwealth realm","Nassau (Bahamas)"
"Guernsey","59807","parliamentary democracy","Saint Peter Port (Guernsey)"
"Virgin Islands","106405","organized","Charlotte Amalie (Virgin Islands)"
"India","1210854977","federal republic","Delhi (Delhi, India)"
"Nigeria","164294516","federal republic","Abuja (Abuja, Nigeria)"
"Bolivia","10027262","republic; Social Unitarian State","La Paz (La Paz, Bolivia)"
"Mauritania","3537368","military junta","Nouakchott (Nouakchott, Mauritania)"
"Saudi Arabia","27136977","monarchy","Riyadh (Al-Riyadh, Saudi Arabia)"
"Solomon Islands","526447","parliamentary democracy and a Commonwealth realm","Honiara (Solomon Islands)"
"Netherlands","16843181","constitutional monarchy","Amsterdam (Noord-Holland, Netherlands)"
"Fiji","860559","republic","Suva (Fiji)"
"Wallis and Futuna","12197","parliamentary representative democratic French overseas collectivity","Mata-Utu (Wallis and Futuna)"
"Aruba","101484","parliamentary democracy","Oranjestad (Aruba)"
"Holy See","842","monarchical sacerdotal state","Vatican City (Holy See)"
"Ceuta","82376","dependent territory of Spain","Ceuta (Ceuta)"
"Ethiopia","84320987","federal republic","Addis Ababa (Addis Ababa, Ethiopia)"
"Bhutan","733004","constitutional monarchy","Thimphu (Bhutan)"
"Chile","16341929","republic","Santiago (Santiago, Chile)"
"Faroe Islands","48197","part of the Danish realm","Tórshavn (Faroe Islands)"
"Belarus","9460692","republic in name, although in fact a dictatorship","Minsk (Minsk City, Belarus)"
"Saint Kitts and Nevis","52352","parliamentary democracy and a Commonwealth realm","Basseterre (Saint Kitts and Nevis)"
"Malta","417432","republic","Valletta (Malta)"
"Tajikistan","8161100","republic","Dushanbe (Dushanbe, Tajikistan)"
"Singapore","5076700","parliamentary republic","Singapore (Singapore)"
"Jordan","6249000","constitutional monarchy","Amman (Jordan)"
"Brazil","202768562","federal republic","Brasília (Distrito Federal, Brazil)"
"Malaysia","27565821","constitutional monarchy","Kuala Lumpur (Kuala Lumpur, Malaysia)"
"Micronesia","102843","constitutional government in free association with the US","Palikir (Micronesia)"
"Uganda","34856813","republic","Kampala (Uganda)"
"Nepal","26494504","federal democratic republic","Kathmandu (Nepal)"
"Comoros","683081","republic","Moroni (Comoros)"
"Curacao","150563","parliamentary","Willemstad (Curacao)"
"Thailand","65981659","constitutional monarchy","Bangkok (Thailand)"
"Luxembourg","524853","constitutional monarchy","Luxembourg (Luxembourg)"
"Nicaragua","6071045","republic","Managua (Nicaragua)"
"Andorra","78115","parliamentary democracy that retains as its chiefs of state a co-principality","Andorra la Vella (Andorra)"
"Guinea","10628972","republic","Conakry (Guinea)"
"Cayman Islands","55691","parliamentary democracy","George Town (Cayman Islands)"
"Zaire","62191161","republic","Kinshasa (Kinshasa, Zaire)"
"Kuwait","2991580","constitutional emirate","Al Kuwayt (Kuwait)"
"Tanzania","44928923","republic","Dodoma (Dodoma, Tanzania)"
"Malawi","15013694","multiparty democracy","Lilongwe (Malawi)"
"Saint Lucia","165595","parliamentary democracy and a Commonwealth realm","Castries (Saint Lucia)"
"Dominica","70739","parliamentary democracy","Roseau (Dominica)"
"Israel","7420368","parliamentary democracy","Yerushalayim (Yerushalayim, Israel)"
"Turkmenistan","5041995","authoritarian presidential rule","Ashgabat (Ashgabat, Turkmenistan)"
"Colombia","47661787","republic; executive branch dominates government structure","Bogotá (Santa Fe de Bogotá, Colombia)"
"Cameroon","19406100","republic; multiparty presidential regime","Yaoundé (Centre, Cameroon)"
"Sao Tome and Principe","187356","republic","São Tomé (Sao Tome and Principe)"
"Bangladesh","149772364","parliamentary democracy","Dhaka (Dhaka, Bangladesh)"
"Guadeloupe","404635","overseas department of France","Basse-Terre (Guadeloupe)"
"Lebanon","4341092","republic","Bayrūt (Lebanon)"
"Timor-Leste","1066582","republic","Dili (Timor-Leste)"
"Niue","1611","self-governing parliamentary democracy","Alofi (Niue)"
"Mali","13985961","republic","Bamako (Bamako, Mali)"
"Isle of Man","84497","parliamentary democracy","Douglas (Isle of Man)"
"Congo","4001831","republic","Brazzaville (Brazzaville, Congo)"
"French Guiana","237549","overseas department of France","Cayenne (French Guiana)"
"Paraguay","6672631","constitutional republic","Asunción (Paraguay)"
"Kazakhstan","17165239","republic; authoritarian presidential rule, with little power outside the executive branch","Astana (Astana, Kazakhstan)"
"Central African Republic","4349921","republic","Bangui (Central African Republic)"
"Cocos Islands","596","territory of Australia","West Island (Cocos Islands)"
"Philippines","92337852","republic","Manila (Metro Manila, Philippines)"
"Cyprus","840407","republic","Lefkosia (Cyprus)"
"Peru","30135875","constitutional republic","Lima (Lima City, Peru)"
"Saint Pierre and Miquelon","6312","parliamentary representative democracy","Saint-Pierre (Saint Pierre and Miquelon)"
"Canada","35158304","a parliamentary democracy, a federation, and a constitutional monarchy","Ottawa (Ontario, Canada)"
"Slovenia","2058821","parliamentary republic","Ljubljana (Slovenia)"
"Kosovo","1733872","republic","Prishtine (Kosovo)"
"Belize","312971","parliamentary democracy and a Commonwealth realm","Belmopan (Belize)"
"Syria","20866000","republic under an authoritarian regime","Dimashq (Dimashq, Syria)"
"Argentina","42669500","republic","Buenos Aires (Distrito Federal, Argentina)"
"Norway","5051275","constitutional monarchy","Oslo (Oslo, Norway)"
"Morocco","32901622","constitutional monarchy","Rabat (Rabat Sale Zemmour Zaer, Morocco)"
"Turks and Caicos Islands","31458","British Overseas Territories","Grand Turk (Turks and Caicos Islands)"
"South Korea","51141463","republic","Seoul (South Korea)"
"Melilla","78476","dependent territory of Spain","Melilla (Melilla)"
"Bulgaria","7284552","parliamentary democracy","Sofia (Bulgaria)"
"Guam","159358","organized","Hagåtña (Guam)"
