"country","language"
"Afghanistan","Afghan Persian"
"Afghanistan","Pashtu"
"Afghanistan","Turkic"
"Albania","Albanian"
"Albania","Greek"
"American Samoa","English"
"American Samoa","Samoan"
"American Samoa","Tongan"
"Andorra","Catalan"
"Andorra","French"
"Andorra","Galician"
"Andorra","Portuguese"
"Andorra","Spanish"
"Anguilla","English"
"Antigua and Barbuda","English"
"Argentina","Spanish"
"Armenia","Armenian"
"Armenia","Kurd"
"Armenia","Russian"
"Australia","Arabic"
"Australia","Chinese"
"Australia","English"
"Australia","Greek"
"Australia","Italian"
"Australia","Vietnamese"
"Austria","Croatian"
"Austria","German"
"Austria","Hungarian"
"Austria","Serbian"
"Austria","Slovene"
"Austria","Turkish"
"Azerbaijan","Armenian"
"Azerbaijan","Azeri"
"Azerbaijan","Lezgi"
"Azerbaijan","Russian"
"Barbados","English"
"Belarus","Belorussian"
"Belarus","Russian"
"Belgium","Dutch"
"Belgium","French"
"Belgium","German"
"Belize","Creole"
"Belize","English"
"Belize","Garifuna"
"Belize","German"
"Belize","Mayan Dialects"
"Belize","Spanish"
"Bolivia","Aymara"
"Bolivia","Quechua"
"Bolivia","Spanish"
"Bosnia and Herzegovina","Serbo-Croatian"
"Brazil","Portuguese"
"British Virgin Islands","English"
"Bulgaria","Bulgarian"
"Bulgaria","Roma"
"Bulgaria","Turkish"
"Canada","English"
"Canada","French"
"Cayman Islands","English"
"Cayman Islands","Spanish"
"Chile","Spanish"
"Colombia","Spanish"
"Costa Rica","Spanish"
"Croatia","Croatian"
"Croatia","Serbian"
"Cuba","Spanish"
"Curacao","Dutch"
"Curacao","English"
"Curacao","Papiamento"
"Curacao","Spanish"
"Cyprus","Greek"
"Cyprus","Turkish"
"Czech Republic","Czech"
"Czech Republic","Slovak"
"Denmark","Danish"
"Denmark","German"
"Dominican Republic","Spanish"
"Ecuador","Spanish"
"El Salvador","Spanish"
"Equatorial Guinea","Spanish"
"Estonia","Estonian"
"Estonia","Russian"
"Falkland Islands","English"
"Finland","Arabic"
"Finland","English"
"Finland","Estonian"
"Finland","Finnish"
"Finland","Russian"
"Finland","Somali"
"Finland","Swedish"
"France","French"
"French Guiana","French"
"French Polynesia","French"
"French Polynesia","Polynesian"
"Gaza Strip","Arabic"
"Gaza Strip","Hebrew"
"Georgia","Armenian"
"Georgia","Azeri"
"Georgia","Georgian"
"Georgia","Russian"
"Germany","German"
"Greece","Greek"
"Guadeloupe","French"
"Guam","Chamorro"
"Guam","English"
"Guam","Philipine Language"
"Guatemala","Amerindian"
"Guatemala","Spanish"
"Guinea","French"
"Haiti","Creole"
"Haiti","French"
"Honduras","Spanish"
"Hong Kong","Chinese"
"Hong Kong","English"
"Hungary","Hungarian"
"Iceland","Icelandic"
"India","Hindi"
"Iran","Arabic"
"Iran","Balochi"
"Iran","Kurdish"
"Iran","Luri"
"Iran","Persian"
"Iran","Turkic"
"Iran","Turkish"
"Ireland","English"
"Isle of Man","English"
"Israel","Arabic"
"Israel","Hebrew"
"Italy","Albanian"
"Italy","French"
"Italy","German"
"Italy","Italian"
"Italy","Slovenian"
"Japan","Japanese"
"Jersey","English"
"Jersey","Portuguese"
"Kazakhstan","Kazakh"
"Kosovo","Albanian"
"Kosovo","Serbian"
"Kyrgyzstan","Dungun"
"Kyrgyzstan","Kyrgyz"
"Kyrgyzstan","Russian"
"Kyrgyzstan","Uzbek"
"Latvia","Latvian"
"Latvia","Russian"
"Liberia","English"
"Liechtenstein","German"
"Lithuania","Lithuanian"
"Lithuania","Polish"
"Lithuania","Russian"
"Luxembourg","English"
"Luxembourg","French"
"Luxembourg","German"
"Luxembourg","Luxembourgish"
"Luxembourg","Portuguese"
"Macao","Portuguese"
"Macedonia","Albanian"
"Macedonia","Macedonian"
"Macedonia","Roma"
"Macedonia","Serbian"
"Macedonia","Turkish"
"Mali","Bambara"
"Malta","English"
"Malta","Maltese"
"Mexico","Spanish"
"Moldova","Gagauz"
"Moldova","Romanian"
"Moldova","Russian"
"Moldova","Ukrainian"
"Monaco","Dutch"
"Monaco","English"
"Monaco","French"
"Monaco","German"
"Monaco","Italian"
"Monaco","Monegasque"
"Mongolia","Khalkha Mongol"
"Montenegro","Albanian"
"Montenegro","Bosnian"
"Montenegro","Montenegrin"
"Montenegro","Serbian"
"Montserrat","English"
"Mozambique","Portuguese"
"Myanmar","Burmese"
"Namibia","Afrikaans"
"Namibia","English"
"Namibia","German"
"Nepal","Nepali"
"Netherlands","Dutch"
"New Zealand","Chinese"
"New Zealand","English"
"New Zealand","French"
"New Zealand","Hindi"
"New Zealand","Maori"
"New Zealand","Samoan"
"Nicaragua","Miskito"
"Nicaragua","Spanish"
"North Korea","Korean"
"Northern Mariana Islands","Chamorro"
"Northern Mariana Islands","Chinese Language"
"Northern Mariana Islands","English"
"Northern Mariana Islands","Other Pacific Island Language"
"Northern Mariana Islands","Philipine Language"
"Norway","Norwegian"
"Pakistan","Balochi"
"Pakistan","Brahui"
"Pakistan","Hindko"
"Pakistan","Pashtu"
"Pakistan","Punjabi"
"Pakistan","Sindhi"
"Pakistan","Siraiki"
"Pakistan","Urdu"
"Panama","English"
"Panama","Spanish"
"Papua New Guinea","English"
"Paraguay","Guarani"
"Paraguay","Spanish"
"Peru","Aymara"
"Peru","Quechua"
"Peru","Spanish"
"Pitcairn","Pitkern"
"Poland","Polish"
"Portugal","Portuguese"
"Romania","Hungarian"
"Romania","Roma"
"Romania","Romanian"
"Russia","Russian"
"Saint Helena","English"
"Saint Kitts and Nevis","English"
"Saint Pierre and Miquelon","French"
"San Marino","Italian"
"Sao Tome and Principe","Portuguese"
"Saudi Arabia","Arabic"
"Serbia","Bosnian"
"Serbia","Hungarian"
"Serbia","Roma"
"Serbia","Serbian"
"Sint Maarten","Creole"
"Sint Maarten","Dutch"
"Sint Maarten","English"
"Sint Maarten","French"
"Sint Maarten","Papiamento"
"Sint Maarten","Spanish"
"Slovakia","Hungarian"
"Slovakia","Roma"
"Slovakia","Slovak"
"Slovakia","Ukrainian"
"Slovenia","Croatian"
"Slovenia","Slovenian"
"Solomon Islands","English"
"Spain","Basque"
"Spain","Catalan"
"Spain","Galician"
"Spain","Spanish"
"Sri Lanka","Sinhala"
"Sri Lanka","Tamil"
"Sweden","Finnish"
"Sweden","Swedish"
"Switzerland","French"
"Switzerland","German"
"Switzerland","Italian"
"Switzerland","Romansch"
"Turkey","Kurdish"
"Turkey","Turkish"
"Turkmenistan","Russian"
"Turkmenistan","Turkmen"
"Turkmenistan","Uzbek"
"Turks and Caicos Islands","English"
"Ukraine","Russian"
"Ukraine","Ukrainian"
"United Kingdom","English"
"United States","English"
"United States","Spanish"
"Uruguay","Spanish"
"Uzbekistan","Russian"
"Uzbekistan","Tajik"
"Uzbekistan","Uzbek"
"Venezuela","Spanish"
"Wallis and Futuna","French"
"Wallis and Futuna","Futunian"
"Wallis and Futuna","Wallisian"
"West Bank","Arabic"
"West Bank","Hebrew"
